Name,Count,FirstSeconds,LastSeconds,
WinMain.Enter,1,0.275072,0.275072,
DefaultMain,1,0.275243,0.275243,
FlushAsyncLoading,82,3.990631,7.236910,
LoadMap - /Game/Calibration/Maps/EmberveilCalibration,1,7.084886,7.084886,
GC,3,7.088691,129.367523,
LoadMapComplete - /Game/Calibration/Maps/EmberveilCalibration,1,7.130178,7.130178,
Tick loop starting,1,7.132836,7.132836,
PSO/Encountered new graphics PSO,35,7.292854,7.439819,
PSO/Encountered new compute PSO,1,7.295412,7.295412,
Cmd: CSVProfile STOP,2,7.418146,7.418525,
