Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
PlatformMemory/TotalPhysical,1,1.000000,33736089600,2.251093,33736089600,2.251093,33736089600,33736089600,33736089600.000000,0.000000,
PlatformMemory/TotalVirtual,1,1.000000,67022086144,2.251093,67022086144,2.251093,67022086144,67022086144,67022086144.000000,0.000000,
PlatformMemory/PageSize,1,1.000000,4096,2.251093,4096,2.251093,4096,4096,4096.000000,0.000000,
PlatformMemory/AvailablePhysical,172,0.971851,11067449344,2.251093,10117922816,179.232983,10015117312,11067449344,10256164530.604650,90632290.911487,
PlatformMemory/AvailableVirtual,172,0.971851,35354562560,2.251093,33694130176,179.232983,33597370368,35354562560,33778702264.558132,160183935.347970,
PlatformMemory/UsedPhysical,171,0.966201,354201600,2.251093,1100980224,179.232984,354201600,1109757952,1094335098.760234,57004352.124039,
PlatformMemory/PeakUsedPhysical,5,0.554371,354201600,2.251093,1122979840,11.270318,354201600,1122979840,961445888.000000,339528396.759095,
PlatformMemory/UsedVirtual,171,0.966201,298479616,2.251094,1848725504,179.232984,298479616,1851129856,1836980020.397660,118458310.512443,
PlatformMemory/PeakUsedVirtual,4,0.443497,298479616,2.251094,1873764352,11.270318,298479616,1873764352,1462818816.000000,776682901.635952,
IoDispatcher/ChunkDecoderQueueCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
IoDispatcher/AvailableChunkDecoderWorkerCount,4,13333333.335417,1,0.375666,4,0.375666,1,4,2.500000,1.290994,
QueuedThreadPoolWrapper/ScheduledWorkAllocs,18,26162.790698,1,4.181816,18,4.182504,1,18,9.500000,5.338539,
PC / Memory / Total Virtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Total Physical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Physical (Main Process),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Virtual (Main Process),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Available Physical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Available Virtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Free & Zero Page List,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Private Bytes (Local Shader Compile Workers),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Virtual (Local Shader Compile Workers),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Demand Zero Page Faults,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
PC / GPU Engine / Total Usage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
PC / GPU Memory / Used Dedicated,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / CPU / Total Usage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
PC / CPU / Total Thread Count,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Network / Total Bytes Sent,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Network / Total Bytes Received,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
BulkData/BatchRequest/Count,7,1.540333,1,7.763397,3,12.307868,0,3,1.428571,0.975900,
BulkData/BatchRequest/Pending,10,2.200077,1,7.763404,0,12.308700,0,2,0.700000,0.674949,
EditorBulkData/PayloadDataLoaded,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
EditorBulkData/PayloadDataPulled,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncLoading/PackagesQueued,172,52.961436,1,3.989291,0,7.236938,0,8,0.825581,1.335015,
AsyncLoading/PackagesLoading,286,88.112184,1,3.991756,0,7.237618,0,31,4.744755,7.353807,
AsyncLoading/PackagesWithRemainingWork,300,92.353801,1,3.989292,0,7.237669,0,35,7.566667,7.891757,
AsyncLoading/PendingIoRequests,466,143.579893,1,3.991792,0,7.237372,0,44,8.916309,12.078038,
AsyncLoading/TotalLoaded,143,44.070419,487,3.992564,8466797,7.237371,487,8466797,1176210.804196,1293658.980546,
AsyncLoadingThread/FileSystemLoads,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncLoadingThread/IoStoreLoads,191,58.855538,1,3.991719,191,7.236953,1,191,96.000000,55.281100,
Chaos/Solver/Bodies/NumDisabled,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/Num,1,1.000000,42,7.425423,42,7.425423,42,42,42.000000,0.000000,
Chaos/Solver/Bodies/NumStatic,1,1.000000,38,7.425423,38,7.425423,38,38,38.000000,0.000000,
Chaos/Solver/Bodies/NumKinematic,1,1.000000,4,7.425423,4,7.425423,4,4,4.000000,0.000000,
Chaos/Solver/Bodies/NumDynamic,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumGC,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumMoving,8408,48.744969,4,7.520752,3,180.010349,0,4,1.714676,1.363970,
Chaos/Solver/Collisions/NumStaticShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumKinematicShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumDynamicShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Islands/NumIslands,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Islands/NumIslandGroups,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumValidConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumActiveConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumRestoredConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumActiveManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumRestoredManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumUpdatedManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Joints/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Character/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
