Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
WorldTick,45767,0.000000,inf,7.138876,7.138878,0.000002,180.050425,inf,inf,0.000000,inf,inf,-nan(ind),
FTaskBase::WaitImpl_StateChangeEvent_WaitFor,75690,0.000000,inf,3.380106,3.380539,0.000433,180.050439,inf,inf,0.000000,inf,inf,-nan(ind),
ExecuteForegroundTask,2652712,14766.360555,337.936768,0.405215,0.433735,0.028519,180.050822,180.050836,0.000014,0.000000,2.066888,0.000127,0.001404,
RHI_Translate,1265311,7324.379703,201.153753,7.299306,7.344729,0.045422,180.052627,180.052639,0.000012,0.000001,0.045774,0.000159,0.000396,
Scene,793261,4591.939421,191.948035,7.299307,7.344719,0.045412,180.049871,180.050062,0.000191,0.000000,0.045763,0.000242,0.000655,
IDXGIOutput::WaitForVBlank_NoBusyWait,42260,238.996182,176.648727,3.332342,3.349677,0.017335,180.152648,180.155251,0.002603,0.000215,0.028894,0.004180,0.000795,
FEngineLoop::Tick,15255,88.220299,172.877708,7.132846,7.418930,0.286084,180.043767,180.052233,0.008465,0.002544,0.559431,0.011333,0.006989,
WaitForTasks,226499,1280.320790,142.211659,3.138029,3.191258,0.053230,180.045524,180.046036,0.000513,0.000002,2.942023,0.000628,0.006586,
FDeferredShadingSceneRenderer_Render,15254,88.270252,122.037733,7.238248,7.279759,0.041511,180.042600,180.048450,0.005850,0.002336,0.054133,0.008000,0.002293,
SubmissionQueue_Process,355099,2006.203228,116.774991,3.052152,3.052158,0.000006,180.051840,180.052665,0.000824,0.000000,0.058078,0.000329,0.000484,
LowerThreadPriority,45265,252.106540,95.144089,0.463641,0.463666,0.000025,180.010559,180.010749,0.000189,0.000001,0.376438,0.002102,0.010231,
FD3D12Queue::ExecuteCommandLists,500293,2827.866356,86.728660,3.137293,3.143197,0.005905,180.052197,180.052654,0.000457,0.000025,0.057704,0.000173,0.000158,
TaskWorkerIsLookingForWork,2273814,12659.217414,80.850634,0.433744,0.433768,0.000024,180.050971,180.051009,0.000038,0.000000,0.024411,0.000036,0.000109,
Tick_Engine,15255,88.222926,77.752757,7.136273,7.139614,0.003341,180.043942,180.050511,0.006569,0.001563,0.558001,0.005097,0.006445,
