Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,8,8.000000,0.087559,0.006214,0.017592,0.010945,0.010869,0.003431,0.000000,0.001410,0.000429,0.000122
SceneRender,8,8.000000,0.056298,0.002529,0.012916,0.007037,0.006778,0.012501,0.000000,0.005459,0.001563,0.001572
RenderGraphExecute,20,20.000000,0.052940,0.000116,0.007452,0.002647,0.002524,0.028188,0.000000,0.006657,0.001409,0.000538
FEngineLoop::Tick,3,3.000000,0.046489,0.006906,0.026707,0.015496,0.012907,0.000031,0.000002,0.000015,0.000010,0.000014
Frame,3,3.000000,0.046451,0.006888,0.026705,0.015484,0.012893,0.000116,0.000018,0.000056,0.000039,0.000042
Tick_Engine,3,3.000000,0.043066,0.004795,0.025531,0.014355,0.012754,0.000312,0.000033,0.000162,0.000104,0.000117
UWorld_Tick,3,3.000000,0.035638,0.002770,0.020175,0.011879,0.012615,0.000571,0.000045,0.000280,0.000190,0.000246
ConditionalCollectGarbage,3,3.000000,0.030663,0.000199,0.020129,0.010221,0.010265,0.000114,0.000005,0.000102,0.000038,0.000008
Scene,7,7.000000,0.024674,0.000094,0.005659,0.003525,0.003691,0.004423,0.000000,0.002549,0.000632,0.000000
IncrementalPurgeGarbage,2,2.000000,0.010521,0.000192,0.010330,0.005261,0.010279,0.000009,0.000002,0.000007,0.000005,0.000007
"VisibilityCommands",6,6.000000,0.010324,0.000001,0.004516,0.001721,0.001757,0.010324,0.000001,0.004516,0.001721,0.001757
FMemory::Trim,1,1.000000,0.010322,0.010322,0.010322,0.010322,0.010322,0.000811,0.000811,0.000811,0.000811,0.000811
PostProcessing,6,6.000000,0.009982,0.001183,0.002020,0.001664,0.001838,0.000227,0.000000,0.000081,0.000038,0.000068
FTaskGraphInterface_BroadcastSlow,1,1.000000,0.009512,0.009512,0.009512,0.009512,0.009512,0.000034,0.000034,0.000034,0.000034,0.000034
FMallocBinnedCommonUtils::FlushCurrentThreadCache,1,1.000000,0.009478,0.009478,0.009478,0.009478,0.009478,0.000002,0.000002,0.000002,0.000002,0.000002
FMallocBinnedCommonUtils::TrimThreadFreeBlockLists,1,1.000000,0.009477,0.009477,0.009477,0.009477,0.009477,0.009477,0.009477,0.009477,0.009477,0.009477
