Name,Count,FirstSeconds,LastSeconds,
WinMain.Enter,1,0.667832,0.667832,
DefaultMain,1,0.668069,0.668069,
FlushAsyncLoading,84,4.675615,11.571291,
LoadMap - /Game/Calibration/Maps/EmberveilCalibration,1,7.591703,7.591703,
GC,1,7.596674,7.596674,
LoadMapComplete - /Game/Calibration/Maps/EmberveilCalibration,1,7.746676,7.746676,
Tick loop starting,1,7.751394,7.751394,
PSO/Encountered new graphics PSO,35,8.092838,8.224401,
PSO/Encountered new compute PSO,1,8.094542,8.094542,
Cmd: CSVProfile STOP,2,8.203109,8.203611,
Engine exit requested (reason: Win RequestExit),1,10.812227,10.812227,
Tick loop end,1,11.109444,11.109444,
Engine exit requested (reason: EngineExit() was called),1,11.109445,11.109445,
EngineLoop.Exit,1,11.109476,11.109476,
WinMain.Exit,1,12.060714,12.060714,
