Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
PlatformMemory/TotalPhysical,1,1.000000,33736089600,2.748023,33736089600,2.748023,33736089600,33736089600,33736089600.000000,0.000000,
PlatformMemory/TotalVirtual,1,1.000000,67022086144,2.748023,67022086144,2.748023,67022086144,67022086144,67022086144.000000,0.000000,
PlatformMemory/PageSize,1,1.000000,4096,2.748023,4096,2.748023,4096,4096,4096.000000,0.000000,
PlatformMemory/AvailablePhysical,3,0.420845,10936795136,2.748023,10031153152,9.876546,10031153152,10936795136,10335636138.666666,520633596.951522,
PlatformMemory/AvailableVirtual,3,0.420845,35283193856,2.748023,33555320832,9.876547,33555320832,35283193856,34133150378.666668,995970824.674837,
PlatformMemory/UsedPhysical,3,0.420845,353869824,2.748023,1115308032,9.876547,353869824,1115308032,858740053.333333,437249976.461019,
PlatformMemory/PeakUsedPhysical,3,0.420845,353869824,2.748023,1132646400,9.876547,353869824,1132646400,864646485.333333,442525310.432193,
PlatformMemory/UsedVirtual,3,0.420845,297295872,2.748023,1808105472,9.876547,297295872,1808105472,1303288490.666667,871217066.209905,
PlatformMemory/PeakUsedVirtual,3,0.420845,297295872,2.748024,1825910784,9.876547,297295872,1825910784,1309732864.000000,876852716.939349,
IoDispatcher/ChunkDecoderQueueCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
IoDispatcher/AvailableChunkDecoderWorkerCount,4,9999999.999712,1,0.829698,4,0.829699,1,4,2.500000,1.290994,
QueuedThreadPoolWrapper/ScheduledWorkAllocs,36,5.081561,1,4.815369,0,11.899807,0,18,9.000000,5.286100,
PC / Memory / Total Virtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Total Physical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Physical (Main Process),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Virtual (Main Process),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Available Physical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Available Virtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Free & Zero Page List,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Private Bytes (Local Shader Compile Workers),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Virtual (Local Shader Compile Workers),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
