Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
PSOPrecache: Precaching,2291,1121.841760,26.785642,4.817018,4.913245,0.096227,6.842511,6.859196,0.016684,0.000007,0.216868,0.011692,0.014120,
Priority: Medium,1988,973.471244,23.780185,4.817019,4.913244,0.096225,6.842512,6.859195,0.016683,0.000006,0.216867,0.011962,0.014337,
FD3D12DynamicRHI::RHICreateComputePipelineState,1936,-19256.572947,21.312103,8.325716,8.334991,0.009275,8.222006,8.225179,0.003173,0.001169,0.216832,0.011008,0.011948,
ExecuteForegroundTask,37511,3436.867891,13.179047,0.868072,0.904656,0.036584,11.781867,11.782370,0.000503,0.000000,0.288031,0.000351,0.003373,
WaitForTasks,4197,522.147748,13.132024,3.892536,3.946498,0.053962,11.930476,11.930491,0.000015,0.000002,2.762670,0.003129,0.045548,
IDXGIOutput::WaitForVBlank_NoBusyWait,1674,219.381527,7.622630,4.083638,4.101185,0.017547,11.710045,11.714180,0.004135,0.000171,0.334827,0.004554,0.008454,
FShaderMapResource_SharedCode_InitRHI,4952,1811.582009,6.597118,5.381359,5.382332,0.000973,8.114879,8.114881,0.000002,0.000000,0.076865,0.001332,0.003351,
FIoStoreShaderCodeArchive::CreateShader,2615,956.645905,6.556296,5.381366,5.382331,0.000965,8.114104,8.114875,0.000771,0.000005,0.076853,0.002507,0.004263,
FD3D12DynamicRHI::RHICreateGraphicsPipelineState,399,3099.038754,5.525044,8.095797,8.112207,0.016410,8.224544,8.224546,0.000002,0.000002,0.099479,0.013847,0.021041,
WorldGridMaterial,280,1306.007916,3.799866,4.817026,4.913239,0.096213,5.025336,5.031420,0.006083,0.001870,0.099503,0.013571,0.022282,
FEngineLoop::PreInitPreStartupScreen,1,0.291678,3.428432,0.699670,4.128103,3.428432,0.699670,4.128103,3.428432,3.428432,3.428432,3.428432,0.000000,
FEngineLoop::Tick,188,55.985206,3.357796,7.751413,8.203884,0.452472,10.809965,11.109443,0.299478,0.002861,0.452472,0.017861,0.054445,
Scene,9849,4032.529811,3.104287,8.408488,8.408732,0.000244,10.850828,10.850876,0.000047,0.000000,0.056762,0.000315,0.001612,
FCompression::UncompressMemory,3072,346.102089,3.075222,0.940066,0.940437,0.000371,9.816018,9.816060,0.000042,0.000001,0.052862,0.001001,0.002300,
FCompression_UncompressMemory,3072,346.102113,3.069115,0.940067,0.940437,0.000370,9.816018,9.816060,0.000042,0.000001,0.052860,0.000999,0.002296,
Oodle.Decode,3072,346.102698,3.051814,0.940069,0.940316,0.000247,9.816019,9.816047,0.000028,0.000001,0.052854,0.000993,0.002292,
Priority: High,302,441.646311,2.987835,4.913295,4.920637,0.007342,5.557939,5.597100,0.039161,0.001877,0.080938,0.009893,0.012492,
RHI_Translate,15730,4466.155062,2.705479,8.408487,8.408912,0.000425,11.930529,11.930532,0.000003,0.000000,0.035026,0.000172,0.000980,
FEngineLoop::Init,1,0.453475,2.205191,5.546181,7.751372,2.205191,5.546181,7.751372,2.205191,2.205191,2.205191,2.205191,0.000000,
ExecuteBackgroundTask,1158,106.825829,2.190060,0.917813,0.917836,0.000023,11.757849,11.757888,0.000039,0.000000,0.062124,0.001891,0.008127,
FMaterialPSOPrecacheCollectionTask,318,115.182866,2.113898,4.765492,4.765648,0.000156,7.524355,7.526320,0.001965,0.000003,0.062116,0.006647,0.014474,
GEngine->Init,1,0.502785,1.988922,5.546670,7.535591,1.988922,5.546670,7.535591,1.988922,1.988922,1.988922,1.988922,0.000000,
UGameEngine::Init,1,0.502792,1.988896,5.546687,7.535583,1.988896,5.546687,7.535583,1.988896,1.988896,1.988896,1.988896,0.000000,
UEngine::Init,1,0.509531,1.962590,5.546757,7.509347,1.962590,5.546757,7.509347,1.962590,1.962590,1.962590,1.962590,0.000000,
ImageWrapper.Compress,8,3.186108,1.936956,8.623754,8.862700,0.238946,10.869712,11.134655,0.264942,0.178709,0.283726,0.242120,0.034779,
FPngImageWrapper::Compress,8,3.188932,1.916170,8.625550,8.862275,0.236725,10.871035,11.134227,0.263192,0.175550,0.279773,0.239521,0.034473,
Tick_Engine,188,56.133731,1.814288,7.759899,7.767513,0.007614,10.810306,11.109044,0.298738,0.001429,0.367632,0.009650,0.044096,
FAudioDevice::Init,1,0.580173,1.723624,5.784963,7.508588,1.723624,5.784963,7.508588,1.723624,1.723624,1.723624,1.723624,0.000000,
FViewport_Draw,191,54.308638,1.642064,7.591992,7.592000,0.000008,10.812552,11.108928,0.296375,0.000001,0.365291,0.008597,0.045281,
FFilterCS,132,736.735003,1.525619,6.077917,6.081961,0.004044,6.241859,6.257086,0.015226,0.002119,0.052390,0.011558,0.010089,
FEngineLoop::PreInitPostStartupScreen,1,0.705205,1.418027,4.128105,5.546132,1.418027,4.128105,5.546132,1.418027,1.418027,1.418027,1.418027,0.000000,
SubmissionQueue_Process,4240,521.599202,1.411274,3.804816,3.804821,0.000005,11.933660,11.933663,0.000003,0.000000,0.028817,0.000333,0.000951,
Sync_RenderingThread,227,28.353643,1.318035,3.891851,3.891862,0.000011,11.897874,11.897876,0.000002,0.000000,0.189513,0.005806,0.014980,
GameThreadWaitForTask,272,34.211004,1.312580,3.893042,3.893164,0.000122,11.843574,11.843700,0.000126,0.000037,0.189232,0.004826,0.012690,
FRenderCameraAerialPerspectiveVolumeCS,64,953.308726,1.298979,5.797327,5.809066,0.011739,5.851349,5.864462,0.013113,0.005196,0.081147,0.020297,0.013590,
FDeferredShadingSceneRenderer_Render,188,66.110074,1.263343,8.003368,8.064407,0.061040,10.843949,10.847110,0.003161,0.002634,0.061040,0.006720,0.005462,
BasePass,1339,570.322658,1.174563,8.501688,8.502168,0.000480,10.849355,10.849482,0.000127,0.000001,0.096716,0.000877,0.007941,
FAudioMixerWasapi_InitializeHardware,1,0.860113,1.162638,5.786207,6.948846,1.162638,5.786207,6.948846,1.162638,1.162638,1.162638,1.162638,0.000000,
VirtualTexture,132,1288.795679,1.152064,4.913299,4.920630,0.007331,5.008529,5.015720,0.007191,0.001871,0.049903,0.008728,0.008469,
FUpscaleCS,120,1643.934703,1.119116,6.168816,6.181667,0.012852,6.229831,6.241811,0.011980,0.002190,0.053843,0.009326,0.009134,
FTonemapCS,110,1225.398728,1.093402,6.240109,6.246955,0.006846,6.323938,6.329876,0.005937,0.003134,0.042055,0.009940,0.007196,
FLightGridInjectionCS,96,877.418270,1.067120,6.492114,6.501457,0.009343,6.522859,6.601526,0.078667,0.004923,0.078667,0.011116,0.008139,
FD3D12Queue::ExecuteCommandLists,6172,767.998054,1.065738,3.891873,3.895901,0.004027,11.928258,11.928352,0.000094,0.000025,0.028278,0.000173,0.000594,
FTemporalAACS,63,788.118673,1.029037,6.030070,6.041561,0.011491,6.071981,6.110007,0.038026,0.004767,0.137771,0.016334,0.021251,
