Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
FEngineLoop::Init,1,1.000000,0.071374,0.071374,0.071374,0.071374,0.071374,0.000000,0.000000,0.000000,0.000000,0.000000
GEngine->Start(),1,1.000000,0.071374,0.071374,0.071374,0.071374,0.071374,0.000000,0.000000,0.000000,0.000000,0.000000
UGameEngine::Start,1,1.000000,0.071374,0.071374,0.071374,0.071374,0.071374,0.000000,0.000000,0.000000,0.000000,0.000000
UGameInstance::StartGameInstance,1,1.000000,0.071374,0.071374,0.071374,0.071374,0.071374,0.000294,0.000294,0.000294,0.000294,0.000294
FRealtimeGC_PerformReachabilityAnalysis,1,1.000000,0.054972,0.054972,0.054972,0.054972,0.054972,0.000192,0.000192,0.000192,0.000192,0.000192
CollectGarbageFull,1,1.000000,0.054781,0.054781,0.054781,0.054781,0.054781,0.000092,0.000092,0.000092,0.000092,0.000092
PerformReachabilityAnalysisOnObjectsInternal,1,1.000000,0.054661,0.054661,0.054661,0.054661,0.054661,0.054586,0.054586,0.054586,0.054586,0.054586
ParallelFor,10,10.000000,0.009091,0.000001,0.005930,0.000909,0.000061,0.000184,0.000001,0.000034,0.000018,0.000019
ShrinkUObjectHashTables,1,1.000000,0.006017,0.006017,0.006017,0.006017,0.006017,0.000087,0.000087,0.000087,0.000087,0.000087
ParallelFor Task,2,2.000000,0.005916,0.000033,0.005883,0.002958,0.005854,0.005916,0.000033,0.005883,0.002958,0.005854
IncrementalPurgeGarbage,1,1.000000,0.002742,0.002742,0.002742,0.002742,0.002742,0.000029,0.000029,0.000029,0.000029,0.000029
IncrementalDestroyGarbage,1,1.000000,0.002709,0.002709,0.002709,0.002709,0.002709,0.000003,0.000003,0.000003,0.000003,0.000003
GC.VerifyAssumptions,1,1.000000,0.002239,0.002239,0.002239,0.002239,0.002239,0.002239,0.002239,0.002239,0.002239,0.002239
ConditionalFinishDestroy,1,1.000000,0.002109,0.002109,0.002109,0.002109,0.002109,0.001800,0.001800,0.001800,0.001800,0.001800
GatherUnreachableObjects,1,1.000000,0.002108,0.002108,0.002108,0.002108,0.002108,0.000153,0.000153,0.000153,0.000153,0.000153
NotifyUnreachableObjects,1,1.000000,0.001891,0.001891,0.001891,0.001891,0.001891,0.000108,0.000108,0.000108,0.000108,0.000108
FMemory::Trim,1,1.000000,0.001307,0.001307,0.001307,0.001307,0.001307,0.000422,0.000422,0.000422,0.000422,0.000422
FTaskBase::WaitImpl_StateChangeEvent_WaitFor,2,2.000000,0.001209,0.000016,0.001194,0.000605,0.001188,0.001209,0.000016,0.001194,0.000605,0.001188
FTaskGraphInterface_BroadcastSlow,1,1.000000,0.000885,0.000885,0.000885,0.000885,0.000885,0.000016,0.000016,0.000016,0.000016,0.000016
FMallocBinnedCommonUtils::FlushCurrentThreadCache,1,1.000000,0.000868,0.000868,0.000868,0.000868,0.000868,0.000014,0.000014,0.000014,0.000014,0.000014
FMallocBinnedCommonUtils::TrimThreadFreeBlockLists,1,1.000000,0.000854,0.000854,0.000854,0.000854,0.000854,0.000854,0.000854,0.000854,0.000854,0.000854
UnhashUnreachableObjects,1,1.000000,0.000850,0.000850,0.000850,0.000850,0.000850,0.000044,0.000044,0.000044,0.000044,0.000044
ConditionalBeginDestroy,1,1.000000,0.000645,0.000645,0.000645,0.000645,0.000645,0.000643,0.000643,0.000643,0.000643,0.000643
DestroyObjects,1,1.000000,0.000597,0.000597,0.000597,0.000597,0.000597,0.000001,0.000001,0.000001,0.000001,0.000001
FObjectPurge::DestroyObjects,1,1.000000,0.000595,0.000595,0.000595,0.000595,0.000595,0.000595,0.000595,0.000595,0.000595,0.000595
VerifyObjectLoadFlagsWhenFinishedLoading,1,1.000000,0.000466,0.000466,0.000466,0.000466,0.000466,0.000001,0.000001,0.000001,0.000001,0.000001
VerifyObjectLoadFlagsDebugTask,1,1.000000,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373,0.000373
BroadcastPreGarbageCollect,1,1.000000,0.000341,0.000341,0.000341,0.000341,0.000341,0.000220,0.000220,0.000220,0.000220,0.000220
FScene::Release,1,1.000000,0.000305,0.000305,0.000305,0.000305,0.000305,0.000100,0.000100,0.000100,0.000100,0.000100
ForEachObjectOfClass,3,3.000000,0.000233,0.000014,0.000205,0.000078,0.000014,0.000105,0.000004,0.000096,0.000035,0.000005
GC.VerifyObjectFlags,1,1.000000,0.000196,0.000196,0.000196,0.000196,0.000196,0.000196,0.000196,0.000196,0.000196,0.000196
FWaitingQueue_Unpark_SignalWaitingThread,24,24.000000,0.000161,0.000003,0.000017,0.000007,0.000004,0.000161,0.000003,0.000017,0.000007,0.000004
ForEachObjectOfClasses_Implementation,3,3.000000,0.000128,0.000009,0.000109,0.000043,0.000010,0.000128,0.000009,0.000109,0.000043,0.000010
BroadcastPostGarbageCollect,1,1.000000,0.000097,0.000097,0.000097,0.000097,0.000097,0.000097,0.000097,0.000097,0.000097,0.000097
BroadcastGarbageCollectConditionalBeginDestroy,1,1.000000,0.000081,0.000081,0.000081,0.000081,0.000081,0.000081,0.000081,0.000081,0.000081,0.000081
ParallelFor.Wait,2,2.000000,0.000080,0.000017,0.000063,0.000040,0.000063,0.000080,0.000017,0.000063,0.000040,0.000063
BroadCastPostGarbageCollectConditionalBeginDestroy,1,1.000000,0.000079,0.000079,0.000079,0.000079,0.000079,0.000079,0.000079,0.000079,0.000079,0.000079
FRenderAssetStreamingManager::OnPreGarbageCollect,1,1.000000,0.000079,0.000079,0.000079,0.000079,0.000079,0.000079,0.000079,0.000079,0.000079,0.000079
VerifyLoadedPackages,1,1.000000,0.000075,0.000075,0.000075,0.000075,0.000075,0.000002,0.000002,0.000002,0.000002,0.000002
BroadcastPostReachabilityAnalysis,1,1.000000,0.000066,0.000066,0.000066,0.000066,0.000066,0.000026,0.000026,0.000026,0.000026,0.000026
BroadcastGarbageCollectStarted,1,1.000000,0.000050,0.000050,0.000050,0.000050,0.000050,0.000049,0.000049,0.000049,0.000049,0.000049
FNiagaraWorldManager::OnPostReachabilityAnalysis,1,1.000000,0.000034,0.000034,0.000034,0.000034,0.000034,0.000020,0.000020,0.000020,0.000020,0.000020
FStreamableManager::OnPreGarbageCollect,5,5.000000,0.000021,0.000000,0.000018,0.000004,0.000001,0.000021,0.000000,0.000018,0.000004,0.000001
VerifyUnreachableObjects,1,1.000000,0.000019,0.000019,0.000019,0.000019,0.000019,0.000000,0.000000,0.000000,0.000000,0.000000
GC.GatherUnreachable,1,1.000000,0.000018,0.000018,0.000018,0.000018,0.000018,0.000003,0.000003,0.000003,0.000003,0.000003
