Name,Count,CountPerSecond,TotalDurationSeconds,FirstStartSeconds,FirstFinishSeconds,FirstDurationSeconds,LastStartSeconds,LastFinishSeconds,LastDurationSeconds,MinDurationSeconds,MaxDurationSeconds,MeanDurationSeconds,DeviationDurationSeconds,
PSOPrecache: Precaching,2291,939.986981,25.430818,4.953780,5.060406,0.106625,7.386598,7.391048,0.004450,0.000009,0.114937,0.011100,0.013056,
Priority: Medium,1988,815.669621,22.970365,4.953787,5.060406,0.106619,7.386599,7.391048,0.004449,0.000008,0.114931,0.011555,0.013631,
FD3D12DynamicRHI::RHICreateComputePipelineState,1936,695.427553,19.793404,6.281038,6.285839,0.004802,9.058585,9.064936,0.006351,0.001177,0.078016,0.010224,0.008879,
ExecuteForegroundTask,38754,3218.818271,14.234700,0.493902,0.526369,0.032467,12.533057,12.533725,0.000668,0.000000,0.362849,0.000367,0.003607,
WaitForTasks,4330,502.353136,13.396813,4.082091,4.148854,0.066764,12.699337,12.701525,0.002188,0.000004,3.180161,0.003094,0.050334,
IDXGIOutput::WaitForVBlank_NoBusyWait,1928,238.114896,8.081642,4.325594,4.356588,0.030994,12.418347,12.422525,0.004178,0.000236,0.030994,0.004192,0.000916,
FShaderMapResource_SharedCode_InitRHI,4989,1319.004330,7.134125,4.884441,4.897277,0.012836,8.666839,8.666839,0.000000,0.000000,0.044645,0.001430,0.003106,
FIoStoreShaderCodeArchive::CreateShader,2656,702.200794,7.095520,4.884444,4.897274,0.012830,8.666511,8.666838,0.000327,0.000009,0.044636,0.002672,0.003843,
FD3D12DynamicRHI::RHICreateGraphicsPipelineState,394,65.879858,5.928203,4.953798,5.060249,0.106451,10.934134,10.934382,0.000248,0.000003,0.362816,0.015046,0.030120,
FEngineLoop::PreInitPreStartupScreen,1,0.247037,4.047977,0.364413,4.412389,4.047977,0.364413,4.412389,4.047977,4.047977,4.047977,4.047977,0.000000,
WorldGridMaterial,280,1337.208053,3.812415,4.953796,5.060398,0.106602,5.159221,5.163187,0.003967,0.001947,0.114874,0.013616,0.025699,
FEngineLoop::Tick,202,59.280493,3.407087,8.332093,9.034294,0.702201,11.641736,11.739622,0.097886,0.003344,0.702201,0.016867,0.052197,
RHI_Translate,16321,1908.274938,3.330152,4.148863,4.150115,0.001252,12.701609,12.701614,0.000005,0.000001,0.265605,0.000204,0.002328,
Scene,9679,3207.747431,3.152155,8.658762,8.658772,0.000009,11.676088,11.676145,0.000057,0.000000,0.089136,0.000326,0.001572,
FCompression::UncompressMemory,3111,307.710014,2.808424,0.533484,0.534169,0.000685,10.643622,10.643652,0.000030,0.000002,0.026853,0.000903,0.001726,
FCompression_UncompressMemory,3111,307.710051,2.806261,0.533485,0.534169,0.000684,10.643623,10.643652,0.000029,0.000002,0.026852,0.000902,0.001726,
Oodle.Decode,3111,307.711871,2.796555,0.533543,0.534070,0.000528,10.643624,10.643650,0.000025,0.000002,0.026846,0.000899,0.001725,
Priority: High,302,265.858106,2.450851,5.060459,5.063143,0.002684,6.191446,6.196403,0.004957,0.001953,0.089523,0.008115,0.007742,
ExecuteBackgroundTask,1094,91.397882,2.400154,0.533441,0.534212,0.000771,12.502995,12.503084,0.000089,0.000000,0.094103,0.002194,0.011284,
FMaterialPSOPrecacheCollectionTask,213,66.919345,2.272590,4.882953,4.960744,0.077791,8.065399,8.065889,0.000491,0.000002,0.094086,0.010669,0.023784,
FEngineLoop::Init,1,0.462920,2.160202,6.171822,8.332024,2.160202,6.171822,8.332024,2.160202,2.160202,2.160202,2.160202,0.000000,
SubmissionQueue_Process,4137,473.805855,1.921386,3.973401,3.973408,0.000007,12.704825,12.704826,0.000000,0.000000,0.088983,0.000464,0.001690,
GEngine->Init,1,0.524919,1.905055,6.172269,8.077324,1.905055,6.172269,8.077324,1.905055,1.905055,1.905055,1.905055,0.000000,
UGameEngine::Init,1,0.524928,1.905025,6.172293,8.077318,1.905025,6.172293,8.077318,1.905025,1.905025,1.905025,1.905025,0.000000,
UEngine::Init,1,0.533956,1.872815,6.172369,8.045184,1.872815,6.172369,8.045184,1.872815,1.872815,1.872815,1.872815,0.000000,
FEngineLoop::PreInitPostStartupScreen,1,0.568384,1.759375,4.412392,6.171767,1.759375,4.412392,6.171767,1.759375,1.759375,1.759375,1.759375,0.000000,
BasePass,1189,180.896015,1.737512,5.102361,5.111793,0.009432,11.675178,11.675198,0.000019,0.000003,0.114880,0.001461,0.012091,
FAudioDevice::Init,1,0.602345,1.660177,6.384083,8.044260,1.660177,6.384083,8.044260,1.660177,1.660177,1.660177,1.660177,0.000000,
FDeferredShadingSceneRenderer_Render,202,65.551155,1.647094,8.591477,8.638926,0.047449,11.670180,11.673040,0.002860,0.002860,0.091653,0.008154,0.007156,
Sync_RenderingThread,241,28.067935,1.640013,4.081235,4.081253,0.000018,12.667543,12.667545,0.000002,0.000000,0.436277,0.006805,0.029301,
GameThreadWaitForTask,268,31.452350,1.631620,4.082897,4.082992,0.000096,12.603475,12.603723,0.000248,0.000056,0.435991,0.006088,0.027355,
FD3D12Queue::ExecuteCommandLists,6542,758.930681,1.428696,4.081222,4.097032,0.015810,12.701041,12.701245,0.000204,0.000034,0.087597,0.000218,0.001155,
FLightGridInjectionCS,96,1299.065079,1.355056,7.040551,7.077138,0.036586,7.101626,7.114451,0.012825,0.005804,0.078038,0.014115,0.012480,
