Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
FEngineLoop::Init,1,1.000000,0.128938,0.128938,0.128938,0.128938,0.128938,0.000000,0.000000,0.000000,0.000000,0.000000
GEngine->Start(),1,1.000000,0.128938,0.128938,0.128938,0.128938,0.128938,0.000000,0.000000,0.000000,0.000000,0.000000
UGameEngine::Start,1,1.000000,0.128938,0.128938,0.128938,0.128938,0.128938,0.000000,0.000000,0.000000,0.000000,0.000000
UGameInstance::StartGameInstance,1,1.000000,0.128938,0.128938,0.128938,0.128938,0.128938,0.000312,0.000312,0.000312,0.000312,0.000312
FRealtimeGC_PerformReachabilityAnalysis,1,1.000000,0.108484,0.108484,0.108484,0.108484,0.108484,0.000062,0.000062,0.000062,0.000062,0.000062
CollectGarbageFull,1,1.000000,0.108421,0.108421,0.108421,0.108421,0.108421,0.000168,0.000168,0.000168,0.000168,0.000168
PerformReachabilityAnalysisOnObjectsInternal,1,1.000000,0.108165,0.108165,0.108165,0.108165,0.108165,0.108026,0.108026,0.108026,0.108026,0.108026
ParallelFor,10,10.000000,0.009344,0.000002,0.005798,0.000934,0.000060,0.000221,0.000001,0.000043,0.000022,0.000023
ShrinkUObjectHashTables,1,1.000000,0.005929,0.005929,0.005929,0.005929,0.005929,0.000131,0.000131,0.000131,0.000131,0.000131
ParallelFor Task,2,2.000000,0.005779,0.000040,0.005739,0.002889,0.005710,0.005779,0.000040,0.005739,0.002889,0.005710
IncrementalPurgeGarbage,1,1.000000,0.005471,0.005471,0.005471,0.005471,0.005471,0.000029,0.000029,0.000029,0.000029,0.000029
IncrementalDestroyGarbage,1,1.000000,0.005437,0.005437,0.005437,0.005437,0.005437,0.000004,0.000004,0.000004,0.000004,0.000004
ConditionalFinishDestroy,1,1.000000,0.004158,0.004158,0.004158,0.004158,0.004158,0.003729,0.003729,0.003729,0.003729,0.003729
GatherUnreachableObjects,1,1.000000,0.003053,0.003053,0.003053,0.003053,0.003053,0.000106,0.000106,0.000106,0.000106,0.000106
NotifyUnreachableObjects,1,1.000000,0.002872,0.002872,0.002872,0.002872,0.002872,0.000085,0.000085,0.000085,0.000085,0.000085
FTaskBase::WaitImpl_StateChangeEvent_WaitFor,2,2.000000,0.001922,0.000074,0.001848,0.000961,0.001839,0.001922,0.000074,0.001848,0.000961,0.001839
GC.VerifyAssumptions,1,1.000000,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776,0.001776
DestroyObjects,1,1.000000,0.001273,0.001273,0.001273,0.001273,0.001273,0.000002,0.000002,0.000002,0.000002,0.000002
FObjectPurge::DestroyObjects,1,1.000000,0.001271,0.001271,0.001271,0.001271,0.001271,0.001271,0.001271,0.001271,0.001271,0.001271
UnhashUnreachableObjects,1,1.000000,0.001224,0.001224,0.001224,0.001224,0.001224,0.000059,0.000059,0.000059,0.000059,0.000059
FMemory::Trim,1,1.000000,0.001221,0.001221,0.001221,0.001221,0.001221,0.000394,0.000394,0.000394,0.000394,0.000394
ConditionalBeginDestroy,1,1.000000,0.000988,0.000988,0.000988,0.000988,0.000988,0.000986,0.000986,0.000986,0.000986,0.000986
FTaskGraphInterface_BroadcastSlow,1,1.000000,0.000827,0.000827,0.000827,0.000827,0.000827,0.000042,0.000042,0.000042,0.000042,0.000042
VerifyObjectLoadFlagsWhenFinishedLoading,1,1.000000,0.000792,0.000792,0.000792,0.000792,0.000792,0.000002,0.000002,0.000002,0.000002,0.000002
FMallocBinnedCommonUtils::FlushCurrentThreadCache,1,1.000000,0.000785,0.000785,0.000785,0.000785,0.000785,0.000019,0.000019,0.000019,0.000019,0.000019
FMallocBinnedCommonUtils::TrimThreadFreeBlockLists,1,1.000000,0.000766,0.000766,0.000766,0.000766,0.000766,0.000766,0.000766,0.000766,0.000766,0.000766
VerifyObjectLoadFlagsDebugTask,1,1.000000,0.000746,0.000746,0.000746,0.000746,0.000746,0.000746,0.000746,0.000746,0.000746,0.000746
ParallelFor.Wait,3,3.000000,0.000465,0.000013,0.000386,0.000155,0.000066,0.000465,0.000013,0.000386,0.000155,0.000066
FScene::Release,1,1.000000,0.000425,0.000425,0.000425,0.000425,0.000425,0.000173,0.000173,0.000173,0.000173,0.000173
BroadcastPreGarbageCollect,1,1.000000,0.000341,0.000341,0.000341,0.000341,0.000341,0.000204,0.000204,0.000204,0.000204,0.000204
ForEachObjectOfClass,3,3.000000,0.000280,0.000011,0.000252,0.000093,0.000016,0.000126,0.000001,0.000119,0.000042,0.000006
