Name,Count,CountPerSecond,First,FirstSeconds,Last,LastSeconds,Minimum,Maximum,Mean,Deviation,
PlatformMemory/TotalPhysical,1,1.000000,33736089600,2.666138,33736089600,2.666138,33736089600,33736089600,33736089600.000000,0.000000,
PlatformMemory/TotalVirtual,1,1.000000,67022086144,2.666138,67022086144,2.666138,67022086144,67022086144,67022086144.000000,0.000000,
PlatformMemory/PageSize,1,1.000000,4096,2.666138,4096,2.666138,4096,4096,4096.000000,0.000000,
PlatformMemory/AvailablePhysical,3,0.468294,12664799232,2.666138,11661676544,9.072365,11661676544,12664799232,12000927744.000000,574976112.835123,
PlatformMemory/AvailableVirtual,3,0.468294,39308161024,2.666139,37344542720,9.072365,37344542720,39308161024,38007924053.333336,1126116351.916353,
PlatformMemory/UsedPhysical,3,0.468294,370049024,2.666139,1130274816,9.072365,370049024,1130274816,869849770.666667,432968080.228931,
PlatformMemory/PeakUsedPhysical,3,0.468294,370049024,2.666139,1143881728,9.072366,370049024,1143881728,881706325.333333,443153671.728816,
PlatformMemory/UsedVirtual,3,0.468294,299425792,2.666139,1776836608,9.072366,299425792,1776836608,1273561088.000000,843781592.771212,
PlatformMemory/PeakUsedVirtual,2,0.370037,299425792,2.666139,1793720320,8.071003,299425792,1793720320,1046573056.000000,1056625793.838751,
IoDispatcher/ChunkDecoderQueueCount,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
IoDispatcher/AvailableChunkDecoderWorkerCount,4,13333333.332950,1,0.413085,4,0.413086,1,4,2.500000,1.290994,
QueuedThreadPoolWrapper/ScheduledWorkAllocs,36,4.805857,1,4.169592,0,11.660452,0,18,9.000000,5.286100,
PC / Memory / Total Virtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Total Physical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Physical (Main Process),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Virtual (Main Process),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Available Physical,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Available Virtual,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Free & Zero Page List,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Private Bytes (Local Shader Compile Workers),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Used Virtual (Local Shader Compile Workers),0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Memory / Demand Zero Page Faults,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
PC / GPU Engine / Total Usage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
PC / GPU Memory / Used Dedicated,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / CPU / Total Usage,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
PC / CPU / Total Thread Count,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Network / Total Bytes Sent,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
PC / Network / Total Bytes Received,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
BulkData/BatchRequest/Count,8,2.170382,1,7.965553,0,11.651541,0,2,1.000000,0.755929,
BulkData/BatchRequest/Pending,8,7.241512,1,7.965562,0,9.070303,0,2,0.750000,0.707107,
EditorBulkData/PayloadDataLoaded,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
EditorBulkData/PayloadDataPulled,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncLoading/PackagesQueued,170,55.357926,1,4.097900,0,7.168824,0,8,0.829412,1.341316,
AsyncLoading/PackagesLoading,282,91.826180,1,4.099433,0,7.170453,0,31,4.797872,7.391800,
AsyncLoading/PackagesWithRemainingWork,296,96.334655,1,4.097900,0,7.170522,0,35,7.574324,7.974188,
AsyncLoading/PendingIoRequests,458,149.172981,1,4.099460,0,7.169721,0,44,9.037118,12.147198,
AsyncLoading/TotalLoaded,141,45.938049,487,4.100368,8390391,7.169719,487,8390391,1161559.347518,1284397.835295,
AsyncLoadingThread/FileSystemLoads,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
AsyncLoadingThread/IoStoreLoads,186,60.596492,1,4.099406,186,7.168890,1,186,93.500000,53.837719,
Chaos/Solver/Bodies/NumDisabled,1,1.000000,5,11.395201,5,11.395201,5,5,5.000000,0.000000,
Chaos/Solver/Bodies/Num,2,0.508567,5,7.462580,0,11.395201,0,5,2.500000,3.535534,
Chaos/Solver/Bodies/NumStatic,2,0.508567,1,7.462581,0,11.395201,0,1,0.500000,0.707107,
Chaos/Solver/Bodies/NumKinematic,2,0.508567,4,7.462581,0,11.395201,0,4,2.000000,2.828427,
Chaos/Solver/Bodies/NumDynamic,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumGC,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Bodies/NumMoving,144,37.914839,4,7.597216,0,11.395202,0,4,1.625000,1.490647,
Chaos/Solver/Collisions/NumStaticShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumKinematicShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumDynamicShapes,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Islands/NumIslands,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Islands/NumIslandGroups,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumValidConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumActiveConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumRestoredConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumActiveManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumRestoredManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumUpdatedManifoldPoints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Joints/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Character/NumConstraints,0,0.000000,0,0.000000,0,0.000000,0,0,0.000000,0.000000,
Chaos/Solver/Collisions/NumBroadPhasePairs,2,4.463759,-842150451,7.014534,0,7.462587,-842150451,0,-421075225.500000,595490294.681409,
