Name,Count,FirstSeconds,LastSeconds,
WinMain.Enter,1,0.301377,0.301377,
DefaultMain,1,0.301840,0.301840,
FlushAsyncLoading,83,3.402790,9.125227,
LoadMap - /Game/Calibration/Maps/EmberveilCalibration,1,5.692832,5.692832,
GC,1,5.696121,5.696121,
LoadMapComplete - /Game/Calibration/Maps/EmberveilCalibration,1,5.718966,5.718966,
Tick loop starting,1,5.720869,5.720869,
PSO/Encountered new graphics PSO,35,5.889724,8.138737,
PSO/Encountered new compute PSO,1,5.890766,5.890766,
Cmd: CSVProfile STOP,2,5.952869,5.953026,
Engine exit requested (reason: Win RequestExit),1,8.723550,8.723550,
Tick loop end,1,8.855575,8.855575,
Engine exit requested (reason: EngineExit() was called),1,8.855576,8.855576,
EngineLoop.Exit,1,8.855619,8.855619,
WinMain.Exit,1,9.859248,9.859248,
